dest,avg_delay,name,lat,lon,type
SAT,6.945371775417299,San Antonio Intl,29.533694,-98.469778,Destinations
SAV,15.129506008010681,Savannah Hilton Head Intl,32.127583,-81.202139,Destinations
SBN,6.5,South Bend Rgnl,41.708661,-86.31725,Destinations
SDF,12.669384057971014,Louisville International Airport,38.1740858,-85.7364989,Destinations
SEA,-1.0990990990990992,Seattle Tacoma Intl,47.449,-122.309306,Destinations
SFO,2.6728915205344266,San Francisco Intl,37.618972,-122.374889,Destinations
SJC,3.448170731707317,Norman Y Mineta San Jose Intl,37.3626,-121.929022,Destinations
SJU,2.520526589294994,NA,NA,NA,Destinations
SLC,0.1762545899632803,Salt Lake City Intl,40.788389,-111.977772,Destinations
SMF,12.109929078014185,Sacramento Intl,38.695417,-121.590778,Destinations
SNA,-7.8682266009852215,John Wayne Arpt Orange Co,33.675667,-117.868222,Destinations
SRQ,3.0824313072439633,Sarasota Bradenton Intl,27.395444,-82.554389,Destinations
STL,11.0784645098986,Lambert St Louis Intl,38.748697,-90.370028,Destinations
STT,-3.835907335907336,NA,NA,NA,Destinations
SYR,8.903925014645576,Syracuse Hancock Intl,43.111187,-76.106311,Destinations
TPA,7.408525033829499,Tampa Intl,27.975472,-82.53325,Destinations
TUL,33.65986394557823,Tulsa Intl,36.198389,-95.888111,Destinations
TVC,12.968421052631578,Cherry Capital Airport,44.741445,-85.582235,Destinations
TYS,24.069204152249135,Mc Ghee Tyson,35.810972,-83.994028,Destinations
XNA,7.465725806451613,NW Arkansas Regional,36.2818694,-94.3068111,Destinations
EWR,0,Newark Liberty Intl,40.6925,-74.168667,New York City
JFK,0,John F Kennedy Intl,40.639751,-73.778925,New York City
LGA,0,La Guardia,40.777245,-73.872608,New York City
